Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0, --,0,0,0.00%,0, --,0
Enabled,[cuenta bancaria joven],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0, --,0,0,0.00%,0, --,0
Enabled, +cuenta +digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,152,30.26%,57.92,46,13.04%,6,1.26,9.65
Enabled,[cuenta superdigital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,1,0.00%,0,0,0.00%,0, --,0
Enabled,[primera cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,1,0.00%,0,0,0.00%,0, --,0
Enabled,cuenta super digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,336,41.07%,131.24,138,42.75%,59,0.95,2.22
Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,20,25.00%,6.94,5,40.00%,2,1.39,3.47
Enabled,[cuenta bancaria superdigital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0, --,0,0,0.00%,0, --,0
Enabled, +cuenta bancaria joven,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,91,17.58%,45.2,16,0.00%,0,2.83,0
Enabled, +como +obtener +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,22,13.64%,9.67,3,0.00%,0,3.22,0
Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,665,8.87%,149.98,59,10.17%,6,2.54,25
Enabled,super cuenta digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,295,35.93%,86.97,106,47.17%,50,0.82,1.74
Enabled, +cuenta +bancaria +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,40,20.00%,24.21,8,0.00%,0,3.03,0
Enabled, +cuenta +digital banco santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,12,25.00%,6.09,3,0.00%,0,2.03,0
Enabled, +cuenta superdigital +santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,12,33.33%,6.25,4,100.00%,4,1.56,1.56
Enabled,cuenta santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,"59,282",20.81%,28349.53,"12,338",3.00%,370,2.3,76.62
